[2019-11-23 14:01:33,829] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2019-11-23 14:01:34,138] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2019-11-23 14:12:14,845] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2019-11-23 14:12:14,894] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2019-11-23 14:12:14,894] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2019-11-23 14:12:14,894] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2019-11-23 14:14:59,107] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2019-11-23 14:14:59,401] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2019-11-23 14:18:07,775] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2019-11-23 14:18:07,917] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2019-11-23 14:18:07,919] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2019-11-23 14:18:07,919] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
