id,title,by
21620643,FlowTrace – remote app inspecting(Ruby). Declare steps and receive params,kirill_shevch
21620641,Rats laugh when tickled – this and other reasons not to grow up quickly,TheSpine
21620640,Scientists may have found a fifth force of nature,palebt
21620626,Critical perspectives on provable security: Fifteen years of another look papers,JetSpiegel
21620613,Show HN: Pmfx-shader – Cross platform shader system,polymonster
21620611,Fibonacci Series and Indian Mathematics,inception44
21620595,Finding Unicorns: A Quick Lesson from Adam Sandler,rebase-vc
21620594,Creating a Bloom Filter with Go,Insanity
21620586,The Hunter Memorial Library,mcgin
21620540,Mixing Hue and Innr Smart Lights,edent
